ENSDI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],ens_adv_inception_resnet_v2,0.1774,0.0070,0.1777*,0.1777*,0.1777*,0.0071*,0.0071*,0.0071*
ENSMI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],ens_adv_inception_resnet_v2,0.0882,0.0020,0.0882*,0.0882*,0.0882*,0.0020*,0.0020*,0.0020*
ENSBAP,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],ens_adv_inception_resnet_v2,0.5100,0.1503,0.5100*,0.5100*,0.5100*,0.1503*,0.1503*,0.1503*
ENSTI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],ens_adv_inception_resnet_v2,0.1513,0.0050,0.1513*,0.1513*,0.1513*,0.0050*,0.0050*,0.0050*
ENSSIT,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],ens_adv_inception_resnet_v2,0.2405,0.0301,0.2407*,0.2407*,0.2407*,0.0303*,0.0303*,0.0303*
ENSPoincare,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],ens_adv_inception_resnet_v2,0.1533,0.0110,0.1536*,0.1536*,0.1536*,0.0113*,0.0113*,0.0113*
ENSDI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],adv_inception_v3,0.2906,0.0210,0.2912*,0.2912*,0.2912*,0.0213*,0.0213*,0.0213*
ENSMI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],adv_inception_v3,0.1733,0.0040,0.1733*,0.1733*,0.1733*,0.0040*,0.0040*,0.0040*
ENSBAP,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],adv_inception_v3,0.6313,0.1553,0.6313*,0.6313*,0.6313*,0.1553*,0.1553*,0.1553*
ENSTI-FGSM,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],adv_inception_v3,0.2405,0.0080,0.2405*,0.2405*,0.2405*,0.0080*,0.0080*,0.0080*
ENSSIT,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],adv_inception_v3,0.3978,0.0491,0.3982*,0.3982*,0.3982*,0.0494*,0.0494*,0.0494*
ENSPoincare,['densenet121' 'resnet50' 'vgg19' 'wide_resnet50_2'],adv_inception_v3,0.2575,0.0210,0.2580*,0.2580*,0.2580*,0.0216*,0.0216*,0.0216*
