LINTSIT,resnet50,resnet50,1.0000,0.9940,1.0000*,1.0000*,1.0000*,0.9950*,0.9950*,0.9950*
LINTAdmix,resnet50,resnet50,0.9960,0.9940,0.9960*,0.9960*,0.9960*,0.9940*,0.9940*,0.9940*
LINTDEM,resnet50,resnet50,0.9309,0.7505,0.9756*,0.9756*,0.9756*,0.9330*,0.9330*,0.9330*

LINTSIT,resnet50,vgg19,0.7675,0.1754,0.7675*,0.7675*,0.7675*,0.1755*,0.1755*,0.1755*
LINTAdmix,resnet50,vgg19,0.6182,0.0441,0.6182*,0.6182*,0.6182*,0.0441*,0.0441*,0.0441*
LINTDEM,resnet50,vgg19,0.7044,0.0471,0.7349*,0.7349*,0.7349*,0.0594*,0.0594*,0.0594*

LINTSIT,resnet50,inception_v3,0.4208,0.0701,0.4208*,0.4208*,0.4208*,0.0702*,0.0702*,0.0702*
LINTAdmix,resnet50,inception_v3,0.3216,0.0301,0.3216*,0.3216*,0.3216*,0.0301*,0.0301*,0.0301*
LINTDEM,resnet50,inception_v3,0.3577,0.0351,0.3743*,0.3743*,0.3743*,0.0442*,0.0442*,0.0442*

LINTSIT,resnet50,densenet121,0.7856,0.3878,0.7856*,0.7856*,0.7856*,0.3882*,0.3882*,0.3882*
LINTAdmix,resnet50,densenet121,0.5902,0.1673,0.5902*,0.5902*,0.5902*,0.1673*,0.1673*,0.1673*
LINTDEM,resnet50,densenet121,0.6082,0.1202,0.6363*,0.6363*,0.6363*,0.1517*,0.1517*,0.1517*

LINTSIT,resnet50,wide_resnet50_2,0.7525,0.4198,0.7525*,0.7525*,0.7525*,0.4203*,0.4203*,0.4203*
LINTAdmix,resnet50,wide_resnet50_2,0.5531,0.1723,0.5531*,0.5531*,0.5531*,0.1723*,0.1723*,0.1723*
LINTDEM,resnet50,wide_resnet50_2,0.5992,0.1182,0.6278*,0.6278*,0.6278*,0.1492*,0.1492*,0.1492*

LINTSIT,densenet121,resnet50,0.7425,0.3327,0.7425*,0.7425*,0.7425*,0.3327*,0.3327*,0.3327*
LINTAdmix,densenet121,resnet50,0.5862,0.1192,0.5862*,0.5862*,0.5862*,0.1192*,0.1192*,0.1192*
LINTDEM,densenet121,resnet50,0.5481,0.0681,0.5566*,0.5566*,0.5566*,0.0714*,0.0714*,0.0714*

LINTSIT,densenet121,vgg19,0.7756,0.1503,0.7756*,0.7756*,0.7756*,0.1503*,0.1503*,0.1503*
LINTAdmix,densenet121,vgg19,0.6543,0.0601,0.6543*,0.6543*,0.6543*,0.0601*,0.0601*,0.0601*
LINTDEM,densenet121,vgg19,0.6774,0.0371,0.6860*,0.6860*,0.6860*,0.0389*,0.0389*,0.0389*

LINTSIT,densenet121,inception_v3,0.4168,0.0681,0.4168*,0.4168*,0.4168*,0.0681*,0.0681*,0.0681*
LINTAdmix,densenet121,inception_v3,0.3387,0.0361,0.3387*,0.3387*,0.3387*,0.0361*,0.0361*,0.0361*
LINTDEM,densenet121,inception_v3,0.3327,0.0230,0.3374*,0.3374*,0.3374*,0.0242*,0.0242*,0.0242*

LINTSIT,densenet121,densenet121,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
LINTAdmix,densenet121,densenet121,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
LINTDEM,densenet121,densenet121,0.9840,0.9459,0.9959*,0.9959*,0.9959*,0.9853*,0.9853*,0.9853*

LINTSIT,densenet121,wide_resnet50_2,0.6463,0.2545,0.6463*,0.6463*,0.6463*,0.2545*,0.2545*,0.2545*
LINTAdmix,densenet121,wide_resnet50_2,0.4900,0.0892,0.4900*,0.4900*,0.4900*,0.0892*,0.0892*,0.0892*
