LBAP,vgg19,resnet50,0.6503,0.1383,0.6503*,0.6503*,0.6503*,0.1394*,0.1394*,0.1394*
LBAP,vgg19,vgg19,1.0000,0.9870,1.0000*,1.0000*,1.0000*,0.9949*,0.9949*,0.9949*
LBAP,vgg19,inception_v3,0.4539,0.0581,0.4539*,0.4539*,0.4539*,0.0586*,0.0586*,0.0586*
LBAP,vgg19,densenet121,0.6934,0.1613,0.6934*,0.6934*,0.6934*,0.1626*,0.1626*,0.1626*
LBAP,vgg19,wide_resnet50_2,0.5351,0.0902,0.5351*,0.5351*,0.5351*,0.0909*,0.0909*,0.0909*
LBAP,resnet50,resnet50,1.0000,0.9970,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
LBAP,resnet50,vgg19,0.8567,0.2585,0.8567*,0.8567*,0.8567*,0.2590*,0.2590*,0.2590*
LBAP,resnet50,inception_v3,0.6423,0.2234,0.6423*,0.6423*,0.6423*,0.2239*,0.2239*,0.2239*
LBAP,resnet50,densenet121,0.8798,0.5912,0.8798*,0.8798*,0.8798*,0.5924*,0.5924*,0.5924*
LBAP,resnet50,wide_resnet50_2,0.8727,0.6212,0.8727*,0.8727*,0.8727*,0.6225*,0.6225*,0.6225*
LBAP,densenet121,resnet50,0.8307,0.4269,0.8307*,0.8307*,0.8307*,0.4277*,0.4277*,0.4277*
LBAP,densenet121,vgg19,0.8587,0.1824,0.8587*,0.8587*,0.8587*,0.1827*,0.1827*,0.1827*
LBAP,densenet121,inception_v3,0.6413,0.2144,0.6413*,0.6413*,0.6413*,0.2149*,0.2149*,0.2149*
LBAP,densenet121,densenet121,1.0000,0.9990,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
LBAP,densenet121,wide_resnet50_2,0.7946,0.3747,0.7946*,0.7946*,0.7946*,0.3755*,0.3755*,0.3755*
LBAP-parallel,resnet50,resnet50,1.0000,0.9960,1.0000*,1.0000*,1.0000*,0.9970*,0.9970*,0.9970*
LBAP-mixconv,resnet50,resnet50,0.9980,0.9830,0.9980*,0.9980*,0.9980*,0.9889*,0.9889*,0.9889*
LBAP-convmix,resnet50,resnet50,0.9980,0.9840,0.9980*,0.9980*,0.9980*,0.9909*,0.9909*,0.9909*
LBAP-convconv,resnet50,resnet50,0.9940,0.9589,0.9970*,0.9970*,0.9970*,0.9764*,0.9764*,0.9764*
LBAP-mixmix,resnet50,resnet50,1.0000,0.9970,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
LBAP-concatenate,resnet50,resnet50,0.9980,0.9840,0.9980*,0.9980*,0.9980*,0.9919*,0.9919*,0.9919*
LBAP-parallel,resnet50,vgg19,0.8437,0.2766,0.8437*,0.8437*,0.8437*,0.2768*,0.2768*,0.2768*
LBAP-mixconv,resnet50,vgg19,0.8467,0.2866,0.8467*,0.8467*,0.8467*,0.2883*,0.2883*,0.2883*
LBAP-convmix,resnet50,vgg19,0.8487,0.2976,0.8487*,0.8487*,0.8487*,0.2997*,0.2997*,0.2997*
LBAP-convconv,resnet50,vgg19,0.8317,0.2735,0.8342*,0.8342*,0.8342*,0.2756*,0.2756*,0.2756*
LBAP-mixmix,resnet50,vgg19,0.8788,0.2695,0.8788*,0.8788*,0.8788*,0.2704*,0.2704*,0.2704*
LBAP-concatenate,resnet50,vgg19,0.8437,0.2966,0.8437*,0.8437*,0.8437*,0.2996*,0.2996*,0.2996*
LBAP-parallel,resnet50,inception_v3,0.6433,0.2505,0.6433*,0.6433*,0.6433*,0.2508*,0.2508*,0.2508*
LBAP-mixconv,resnet50,inception_v3,0.6263,0.2385,0.6263*,0.6263*,0.6263*,0.2399*,0.2399*,0.2399*
LBAP-convmix,resnet50,inception_v3,0.6242,0.2385,0.6242*,0.6242*,0.6242*,0.2402*,0.2402*,0.2402*
LBAP-convconv,resnet50,inception_v3,0.6212,0.2144,0.6231*,0.6231*,0.6231*,0.2172*,0.2172*,0.2172*
