10,DI-FGSM,resnet50,resnet50,0.9850,0.9339,0.9860*,0.9860*,0.9860*,0.9509*,0.9509*,0.9509*
20,DI-FGSM,resnet50,resnet50,1.0000,0.9950,1.0000*,1.0000*,1.0000*,0.9950*,0.9950*,0.9950*
30,DI-FGSM,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
40,DI-FGSM,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
10,TI-FGSM,resnet50,resnet50,0.9890,0.9389,0.9900*,0.9900*,0.9900*,0.9561*,0.9561*,0.9561*
20,TI-FGSM,resnet50,resnet50,0.9990,0.9980,0.9990*,0.9990*,0.9990*,0.9980*,0.9980*,0.9980*
30,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
40,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
10,Poincare,resnet50,resnet50,0.9920,0.9309,0.9920*,0.9920*,0.9920*,0.9537*,0.9537*,0.9537*
20,Poincare,resnet50,resnet50,0.9990,0.9970,0.9990*,0.9990*,0.9990*,0.9970*,0.9970*,0.9970*
30,Poincare,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
40,Poincare,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
10,MI-FGSM,resnet50,resnet50,0.9890,0.9780,0.9890*,0.9890*,0.9890*,0.9780*,0.9780*,0.9780*
20,MI-FGSM,resnet50,resnet50,0.9900,0.9790,0.9900*,0.9900*,0.9900*,0.9790*,0.9790*,0.9790*
30,MI-FGSM,resnet50,resnet50,0.9900,0.9810,0.9900*,0.9900*,0.9900*,0.9810*,0.9810*,0.9810*
40,MI-FGSM,resnet50,resnet50,0.9880,0.9790,0.9880*,0.9880*,0.9880*,0.9790*,0.9790*,0.9790*
10,VMI-FGSM,resnet50,resnet50,0.9930,0.9399,0.9930*,0.9930*,0.9930*,0.9399*,0.9399*,0.9399*
20,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
30,VMI-FGSM,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
40,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
10,VNI-FGSM,resnet50,resnet50,0.9950,0.9459,0.9950*,0.9950*,0.9950*,0.9458*,0.9458*,0.9458*
20,VNI-FGSM,resnet50,resnet50,1.0000,0.9970,1.0000*,1.0000*,1.0000*,0.9970*,0.9970*,0.9970*
30,VNI-FGSM,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
