1,TI-FGSM,resnet50,resnet50,0.1834,0.0020,0.4915*,0.4915*,0.4915*,0.1429*,0.1429*,0.1429*
5,TI-FGSM,resnet50,resnet50,0.8677,0.5301,0.8982*,0.8982*,0.8982*,0.7192*,0.7192*,0.7192*
10,TI-FGSM,resnet50,resnet50,0.9860,0.9459,0.9870*,0.9870*,0.9870*,0.9622*,0.9622*,0.9622*
20,TI-FGSM,resnet50,resnet50,0.9990,0.9990,0.9990*,0.9990*,0.9990*,0.9990*,0.9990*,0.9990*
30,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
40,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
50,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
60,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
70,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
80,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
90,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
100,TI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
1,MI-FGSM,resnet50,resnet50,0.2515,0.0050,0.3445*,0.3445*,0.3445*,0.0877*,0.0877*,0.0877*
5,MI-FGSM,resnet50,resnet50,0.8377,0.7305,0.8377*,0.8377*,0.8377*,0.7319*,0.7319*,0.7319*
10,MI-FGSM,resnet50,resnet50,0.9900,0.9780,0.9900*,0.9900*,0.9900*,0.9780*,0.9780*,0.9780*
20,MI-FGSM,resnet50,resnet50,0.9890,0.9800,0.9890*,0.9890*,0.9890*,0.9800*,0.9800*,0.9800*
30,MI-FGSM,resnet50,resnet50,0.9860,0.9729,0.9860*,0.9860*,0.9860*,0.9729*,0.9729*,0.9729*
40,MI-FGSM,resnet50,resnet50,0.9840,0.9719,0.9840*,0.9840*,0.9840*,0.9719*,0.9719*,0.9719*
50,MI-FGSM,resnet50,resnet50,0.9870,0.9790,0.9870*,0.9870*,0.9870*,0.9790*,0.9790*,0.9790*
60,MI-FGSM,resnet50,resnet50,0.9850,0.9790,0.9850*,0.9850*,0.9850*,0.9790*,0.9790*,0.9790*
70,MI-FGSM,resnet50,resnet50,0.9920,0.9840,0.9920*,0.9920*,0.9920*,0.9840*,0.9840*,0.9840*
80,MI-FGSM,resnet50,resnet50,0.9900,0.9810,0.9900*,0.9900*,0.9900*,0.9810*,0.9810*,0.9810*
90,MI-FGSM,resnet50,resnet50,0.9910,0.9810,0.9910*,0.9910*,0.9910*,0.9810*,0.9810*,0.9810*
100,MI-FGSM,resnet50,resnet50,0.9910,0.9800,0.9910*,0.9910*,0.9910*,0.9800*,0.9800*,0.9800*
1,VMI-FGSM,resnet50,resnet50,0.2505,0.0050,0.3431*,0.3431*,0.3431*,0.0877*,0.0877*,0.0877*
5,VMI-FGSM,resnet50,resnet50,0.9269,0.4810,0.9325*,0.9325*,0.9325*,0.4964*,0.4964*,0.4964*
10,VMI-FGSM,resnet50,resnet50,0.9940,0.9589,0.9940*,0.9940*,0.9940*,0.9589*,0.9589*,0.9589*
20,VMI-FGSM,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
30,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
40,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
50,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
60,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
70,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
80,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
90,VMI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
100,VMI-FGSM,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
1,VNI-FGSM,resnet50,resnet50,0.2525,0.0050,0.3454*,0.3454*,0.3454*,0.0877*,0.0877*,0.0877*
5,VNI-FGSM,resnet50,resnet50,0.9158,0.4559,0.9213*,0.9213*,0.9213*,0.4815*,0.4815*,0.4815*
10,VNI-FGSM,resnet50,resnet50,0.9940,0.9659,0.9940*,0.9940*,0.9940*,0.9669*,0.9669*,0.9669*
20,VNI-FGSM,resnet50,resnet50,1.0000,0.9960,1.0000*,1.0000*,1.0000*,0.9960*,0.9960*,0.9960*
30,VNI-FGSM,resnet50,resnet50,0.9990,0.9990,0.9990*,0.9990*,0.9990*,0.9990*,0.9990*,0.9990*
40,VNI-FGSM,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,0.9990*,0.9990*,0.9990*
50,VNI-FGSM,resnet50,resnet50,1.0000,0.9980,1.0000*,1.0000*,1.0000*,0.9980*,0.9980*,0.9980*
60,VNI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
70,VNI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
80,VNI-FGSM,resnet50,resnet50,1.0000,0.9980,1.0000*,1.0000*,1.0000*,0.9980*,0.9980*,0.9980*
90,VNI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
100,VNI-FGSM,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
1,SIT,resnet50,resnet50,0.1824,0.0060,0.3209*,0.3209*,0.3209*,0.1304*,0.1304*,0.1304*
5,SIT,resnet50,resnet50,0.9790,0.7986,0.9829*,0.9829*,0.9829*,0.8553*,0.8553*,0.8553*
10,SIT,resnet50,resnet50,0.9990,0.9950,0.9990*,0.9990*,0.9990*,0.9970*,0.9970*,0.9970*
20,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
30,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
40,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
50,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
60,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
70,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
80,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
90,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
100,SIT,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
1,SSA,resnet50,resnet50,0.0511,0.0000,0.5667*,0.5667*,0.5667*,nan*,nan*,nan*
5,SSA,resnet50,resnet50,0.8096,0.3467,0.8478*,0.8478*,0.8478*,0.6236*,0.6236*,0.6236*
10,SSA,resnet50,resnet50,0.9930,0.9369,0.9970*,0.9970*,0.9970*,0.9800*,0.9800*,0.9800*
20,SSA,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
30,SSA,resnet50,resnet50,1.0000,0.9990,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
40,SSA,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
50,SSA,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
60,SSA,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
70,SSA,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
80,SSA,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
90,SSA,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
100,SSA,resnet50,resnet50,1.0000,1.0000,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*,1.0000*
1,TI-FGSM,resnet50,vgg19,0.0842,0.0000,0.1831*,0.1831*,0.1831*,0.0000*,0.0000*,0.0000*
5,TI-FGSM,resnet50,vgg19,0.4309,0.0150,0.4403*,0.4403*,0.4403*,0.0205*,0.0205*,0.0205*
10,TI-FGSM,resnet50,vgg19,0.7134,0.0461,0.7141*,0.7141*,0.7141*,0.0469*,0.0469*,0.0469*
20,TI-FGSM,resnet50,vgg19,0.7625,0.0762,0.7625*,0.7625*,0.7625*,0.0762*,0.0762*,0.0762*
30,TI-FGSM,resnet50,vgg19,0.7745,0.0741,0.7745*,0.7745*,0.7745*,0.0741*,0.0741*,0.0741*
40,TI-FGSM,resnet50,vgg19,0.7946,0.0852,0.7946*,0.7946*,0.7946*,0.0852*,0.0852*,0.0852*
50,TI-FGSM,resnet50,vgg19,0.7876,0.0822,0.7876*,0.7876*,0.7876*,0.0822*,0.0822*,0.0822*
60,TI-FGSM,resnet50,vgg19,0.8076,0.0822,0.8076*,0.8076*,0.8076*,0.0822*,0.0822*,0.0822*
70,TI-FGSM,resnet50,vgg19,0.8146,0.0862,0.8146*,0.8146*,0.8146*,0.0862*,0.0862*,0.0862*
80,TI-FGSM,resnet50,vgg19,0.8006,0.0942,0.8006*,0.8006*,0.8006*,0.0942*,0.0942*,0.0942*
90,TI-FGSM,resnet50,vgg19,0.8136,0.0782,0.8136*,0.8136*,0.8136*,0.0782*,0.0782*,0.0782*
100,TI-FGSM,resnet50,vgg19,0.8136,0.1012,0.8136*,0.8136*,0.8136*,0.1012*,0.1012*,0.1012*
1,MI-FGSM,resnet50,vgg19,0.0802,0.0000,0.1088*,0.1088*,0.1088*,0.0000*,0.0000*,0.0000*
5,MI-FGSM,resnet50,vgg19,0.2475,0.0010,0.2475*,0.2475*,0.2475*,0.0010*,0.0010*,0.0010*
10,MI-FGSM,resnet50,vgg19,0.4459,0.0080,0.4459*,0.4459*,0.4459*,0.0080*,0.0080*,0.0080*
20,MI-FGSM,resnet50,vgg19,0.4679,0.0060,0.4679*,0.4679*,0.4679*,0.0060*,0.0060*,0.0060*
30,MI-FGSM,resnet50,vgg19,0.4609,0.0060,0.4609*,0.4609*,0.4609*,0.0060*,0.0060*,0.0060*
40,MI-FGSM,resnet50,vgg19,0.4749,0.0000,0.4749*,0.4749*,0.4749*,0.0000*,0.0000*,0.0000*
50,MI-FGSM,resnet50,vgg19,0.4719,0.0050,0.4719*,0.4719*,0.4719*,0.0050*,0.0050*,0.0050*
60,MI-FGSM,resnet50,vgg19,0.4830,0.0050,0.4830*,0.4830*,0.4830*,0.0050*,0.0050*,0.0050*
70,MI-FGSM,resnet50,vgg19,0.4800,0.0060,0.4800*,0.4800*,0.4800*,0.0060*,0.0060*,0.0060*
80,MI-FGSM,resnet50,vgg19,0.4519,0.0050,0.4519*,0.4519*,0.4519*,0.0050*,0.0050*,0.0050*
90,MI-FGSM,resnet50,vgg19,0.4739,0.0060,0.4739*,0.4739*,0.4739*,0.0060*,0.0060*,0.0060*
100,MI-FGSM,resnet50,vgg19,0.4850,0.0050,0.4850*,0.4850*,0.4850*,0.0050*,0.0050*,0.0050*
1,VMI-FGSM,resnet50,vgg19,0.0822,0.0000,0.1116*,0.1116*,0.1116*,0.0000*,0.0000*,0.0000*
5,VMI-FGSM,resnet50,vgg19,0.3136,0.0060,0.3155*,0.3155*,0.3155*,0.0062*,0.0062*,0.0062*
10,VMI-FGSM,resnet50,vgg19,0.5902,0.0421,0.5902*,0.5902*,0.5902*,0.0421*,0.0421*,0.0421*
20,VMI-FGSM,resnet50,vgg19,0.6443,0.0411,0.6443*,0.6443*,0.6443*,0.0411*,0.0411*,0.0411*
30,VMI-FGSM,resnet50,vgg19,0.6423,0.0351,0.6423*,0.6423*,0.6423*,0.0351*,0.0351*,0.0351*
40,VMI-FGSM,resnet50,vgg19,0.6433,0.0341,0.6433*,0.6433*,0.6433*,0.0341*,0.0341*,0.0341*
50,VMI-FGSM,resnet50,vgg19,0.6573,0.0341,0.6573*,0.6573*,0.6573*,0.0341*,0.0341*,0.0341*
